# eventID  propagation_model  gaussian_sigma  exp_decay_const  num_tracks  prob_mean  prob_width  total_hits_this_event
     293  linear              -1.00000           -1.00000          15    0.00264     0.00026          72
     294  exponential         -1.00000           13.80435          15    0.07508     0.00751          78
     295  exponential         -1.00000           18.86484          22    0.01004     0.00100          76
     296  gaussian             8.74380           -1.00000          31    0.02421     0.00242          80
     297  exponential         -1.00000           12.80330          12    0.08851     0.00885          77
     298  exponential         -1.00000           13.35971          15    0.02349     0.00235          73
     299  exponential         -1.00000           20.55696          10    0.07083     0.00708          73
     300  exponential         -1.00000           28.08922          21    0.00881     0.00088          71
     301  linear              -1.00000           -1.00000          36    0.01259     0.00126          78
     302  linear              -1.00000           -1.00000          40    0.01249     0.00125          79
     303  linear              -1.00000           -1.00000          32    0.01558     0.00156          80
     304  linear              -1.00000           -1.00000          37    0.01190     0.00119          77
     305  exponential         -1.00000           12.54664          28    0.01606     0.00161          74
     306  gaussian             8.21101           -1.00000          36    0.03603     0.00360          78
     307  gaussian             9.60045           -1.00000          14    0.02746     0.00275          69
     308  exponential         -1.00000           15.48352          39    0.01012     0.00101          75
     309  linear              -1.00000           -1.00000          30    0.01286     0.00129          77
     310  linear              -1.00000           -1.00000          10    0.01388     0.00139          77
     311  exponential         -1.00000           29.27751          21    0.01730     0.00173          74
     312  exponential         -1.00000           16.06142          33    0.00239     0.00024          72
     313  gaussian            12.99917           -1.00000          35    0.01638     0.00164          77
     314  exponential         -1.00000           22.32019          11    0.05405     0.00540          80
     315  exponential         -1.00000           17.28084          40    0.02123     0.00212          80
     316  linear              -1.00000           -1.00000          37    0.01177     0.00118          80
     317  linear              -1.00000           -1.00000          39    0.00485     0.00049          75
     318  exponential         -1.00000           26.11366          30    0.01093     0.00109          73
     319  linear              -1.00000           -1.00000          36    0.00939     0.00094          79
     320  gaussian            17.34120           -1.00000          18    0.01652     0.00165          78
     321  linear              -1.00000           -1.00000          38    0.00238     0.00024          71
     322  exponential         -1.00000           21.05365          33    0.00580     0.00058          72
     323  gaussian            17.61162           -1.00000          33    0.00738     0.00074          70
     324  exponential         -1.00000           25.67690          14    0.00051     0.00005          71
     325  exponential         -1.00000           12.74256          26    0.00836     0.00084          73
     326  exponential         -1.00000           15.71284          39    0.02134     0.00213          77
     327  exponential         -1.00000           23.89348          34    0.01147     0.00115          76
     328  exponential         -1.00000           20.00568          28    0.01922     0.00192          74
     329  gaussian            15.05335           -1.00000          17    0.02070     0.00207          77
     330  linear              -1.00000           -1.00000          14    0.00801     0.00080          70
     331  exponential         -1.00000           28.03479          32    0.00820     0.00082          68
     332  linear              -1.00000           -1.00000          36    0.00119     0.00012          70
     333  linear              -1.00000           -1.00000          16    0.01848     0.00185          80
     334  exponential         -1.00000           20.65075          29    0.02207     0.00221          76
     335  gaussian             9.45574           -1.00000          21    0.04586     0.00459          78
     336  exponential         -1.00000           28.52405          20    0.01479     0.00148          77
     337  gaussian             8.32299           -1.00000          12    0.00875     0.00087          78
     338  gaussian             9.85621           -1.00000          35    0.05774     0.00577          80
     339  exponential         -1.00000           18.32514          24    0.00905     0.00091          72
     340  gaussian            16.09661           -1.00000          26    0.00099     0.00010          74
     341  exponential         -1.00000           13.74171          37    0.00505     0.00051          74
     342  exponential         -1.00000           26.87643          19    0.01220     0.00122          73
     343  exponential         -1.00000           11.51346          31    0.00272     0.00027          71
     344  linear              -1.00000           -1.00000          14    0.02304     0.00230          74
     345  exponential         -1.00000           22.07965          17    0.03320     0.00332          76
     346  linear              -1.00000           -1.00000          18    0.01560     0.00156          77
     347  gaussian             9.47744           -1.00000          20    0.03989     0.00399          75
     348  gaussian            17.60565           -1.00000          21    0.01059     0.00106          72
     349  gaussian            16.86645           -1.00000          34    0.01428     0.00143          79
     350  linear              -1.00000           -1.00000          14    0.00061     0.00006          70
     351  gaussian            16.48463           -1.00000          10    0.03050     0.00305          75
     352  exponential         -1.00000           14.34424          32    0.04398     0.00440          76
     353  gaussian            18.61333           -1.00000          20    0.00053     0.00005          70
     354  gaussian            13.94579           -1.00000          16    0.01992     0.00199          72
     355  linear              -1.00000           -1.00000          38    0.00587     0.00059          74
     356  exponential         -1.00000           27.70650          21    0.06251     0.00625          77
     357  exponential         -1.00000           19.27410          25    0.01994     0.00199          79
     358  linear              -1.00000           -1.00000          12    0.00259     0.00026          72
     359  exponential         -1.00000           12.83114          40    0.03994     0.00399          75
     360  exponential         -1.00000           21.17485          39    0.00103     0.00010          71
     361  exponential         -1.00000           13.19969          17    0.02739     0.00274          73
     362  gaussian            11.05969           -1.00000          19    0.05983     0.00598          80
     363  exponential         -1.00000           27.60581          12    0.05560     0.00556          75
     364  exponential         -1.00000           26.16045          31    0.00595     0.00060          72
     365  exponential         -1.00000           26.42397          22    0.00435     0.00044          72
     366  gaussian            14.02658           -1.00000          16    0.02549     0.00255          75
     367  gaussian            11.02763           -1.00000          35    0.01886     0.00189          77
     368  linear              -1.00000           -1.00000          15    0.00098     0.00010          71
     369  exponential         -1.00000           26.74494          24    0.01042     0.00104          73
     370  gaussian             7.81227           -1.00000          37    0.02995     0.00299          79
     371  exponential         -1.00000           17.45462          28    0.04747     0.00475          78
     372  exponential         -1.00000           14.20466          23    0.04559     0.00456          79
     373  gaussian             6.66709           -1.00000          23    0.02550     0.00255          75
     374  linear              -1.00000           -1.00000          23    0.00977     0.00098          77
     375  exponential         -1.00000           16.83150          35    0.00973     0.00097          75
     376  exponential         -1.00000           23.46411          21    0.02137     0.00214          76
     377  exponential         -1.00000           11.13151          36    0.00808     0.00081          75
     378  gaussian             5.41923           -1.00000          25    0.10937     0.01094          80
     379  gaussian            11.44987           -1.00000          39    0.01871     0.00187          74
     380  linear              -1.00000           -1.00000          23    0.01534     0.00153          77
     381  gaussian            18.76815           -1.00000          29    0.00226     0.00023          72
     382  gaussian             8.80565           -1.00000          25    0.00789     0.00079          72
     383  gaussian             9.14112           -1.00000          20    0.04843     0.00484          73
     384  exponential         -1.00000           19.06233          17    0.01056     0.00106          74
     385  exponential         -1.00000           27.28821          23    0.00199     0.00020          77
     386  linear              -1.00000           -1.00000          12    0.00911     0.00091          73
     387  gaussian            12.51425           -1.00000          15    0.01595     0.00160          76
     388  linear              -1.00000           -1.00000          24    0.00567     0.00057          74
     389  exponential         -1.00000           14.18053          30    0.02731     0.00273          79
     390  exponential         -1.00000           18.75347          11    0.04828     0.00483          75
     391  linear              -1.00000           -1.00000          32    0.00917     0.00092          77
     392  linear              -1.00000           -1.00000          37    0.00351     0.00035          71
     393  exponential         -1.00000           22.17177          24    0.02898     0.00290          77
     394  exponential         -1.00000           12.47836          23    0.07871     0.00787          71
